id,name,application_due_at,started_at,information,application_link,tags,address,host_id,created_at,updated_at,latitude,longitude,photo
9,Village of Shorewood Holiday Market,2024-11-30,2024-12-06,"The festive, three-day event takes place at Towne Center Park near Village Hall during the first weekend of December and features a Village Tree Lighting, visits with Santa, music and entertainment, and creative vendors of all sorts.",email parks@shorewoodil.gov,"holiday, market, crafts, christmas","Shorewood, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,41.52072852,-8.82E+15,
13,Burgoo Festival,2025-06-20,2025-10-10,"The Burgoo Festival is an annual village street party featuring flea marketers, craftsmen, musicians, and other entertainment. More than 250 vendors will present their wares at this craft show and flea market.",https://utica-il.gov/burgoo-festival,"festival, craft, food, music","Utica, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,43.10009418,-7.52E+15,
15,Quad City Christmas Arts & Craft Fair,2024-11-29,2024-11-29,Details: Features over 200 exhibitors. Juried.,https://prod.liveshare.vsengsaas.visualstudio.com/join?1B839C90FDDE6789BCE9D14CB876D6E4694C,"market, festival, craft","QCCA Expo Center, Rock Island, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,41.50904812,-90.56203669,
16,Grayslake Festival of Arts & Crafts,2024-11-29,2024-11-29,Details: Hosts over 300 exhibitors. Juried.,https://prod.liveshare.vsengsaas.visualstudio.com/join?1B839C90FDDE6789BCE9D14CB876D6E4694C,"market, festival, craft","Lake County Fairgrounds, Grayslake, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,42.31108608,-88.02052075,
17,Marmion Christmas Craft Show,2024-11-29,2024-11-30,Details: Features 215+ vendors. Juried.,https://prod.liveshare.vsengsaas.visualstudio.com/join?1B839C90FDDE6789BCE9D14CB876D6E4694C,"market, festival, craft","Marmion Academy, Aurora, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,41.81549848,-88.29392902,
18,One of a Kind Holiday Show,2024-11-29,2024-12-05,Details: Premier event with over 500 exhibitors. Juried.,https://prod.liveshare.vsengsaas.visualstudio.com/join?1B839C90FDDE6789BCE9D14CB876D6E4694C,"market, festival, craft","The Merchandise Mart, Chicago, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,41.88860925,-87.63546053,
19,Christmas in Carlinville,2024-12-01,2024-12-05,Details: Features 70+ exhibitors. Juried.,https://prod.liveshare.vsengsaas.visualstudio.com/join?1B839C90FDDE6789BCE9D14CB876D6E4694C,"market, festival, craft","Town Square, Carlinville, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,39.28148213,-89.88147049,
20,Olde Alton Arts and Crafts Fair,2024-12-01,2024-12-07,Details: Large event with 100+ vendors.,https://prod.liveshare.vsengsaas.visualstudio.com/join?1B839C90FDDE6789BCE9D14CB876D6E4694C,"market, festival, craft","Alton High School, Alton, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,38.93619857,-90.15932362,
21,"Holiday Jewelry, Fashion & Accessories Show",2024-12-01,2024-12-07,Details: Includes a variety of handmade crafts.,https://prod.liveshare.vsengsaas.visualstudio.com/join?1B839C90FDDE6789BCE9D14CB876D6E4694C,"market, festival, craft","Renaissance Schaumburg Hotel, Schaumburg, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,42.06084335,-88.04083756,
22,Christmas Craft & Vendor Show,2024-12-04,2024-12-07,Details: Hosts 70+ exhibitors.,https://prod.liveshare.vsengsaas.visualstudio.com/join?1B839C90FDDE6789BCE9D14CB876D6E4694C,"market, festival, craft","Trinity Christian School, Shorewood, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,41.53869278,-88.20710557,
23,Les Artisans Arts & Crafts Fair,2024-12-03,2024-12-07,Details: Over 90 vendors featured.,https://prod.liveshare.vsengsaas.visualstudio.com/join?1B839C90FDDE6789BCE9D14CB876D6E4694C,"market, festival, craft","Kankakee County Fairgrounds, Kankakee, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,41.0645668,-87.8725015,
24,Last Chance Craft & Art Show,2024-12-10,2024-12-14,Details: Over 100 vendors at this well-regarded event.,https://prod.liveshare.vsengsaas.visualstudio.com/join?1B839C90FDDE6789BCE9D14CB876D6E4694C,"market, festival, craft","College of DuPage Athletic Arena, Glen Ellyn, IL",1,2024-11-27 23:08:00 UTC,2024-11-27 23:08:00 UTC,41.83960398,-88.06865224,
